Artist,Sort Artist,Album,Tracks,Discs,Album DR,Date Master,Date Release,Bit Depth,Sample Rate,Channels,# Covers,Cover Width,Cover Height,Fixed Album Name,Description,Discogs Master,Discogs Release,Musicbrainz Release Group,Musicbrainz Album
Queen,Queen,The Works [1984 CD 44kHz DR12],9,1,12,1984,1984,16,44,2,1,1500,1500,,,m15357,1998522,44c90c72-76b5-3c13-890e-3d37f21c10c9,0079c6a2-5027-4df8-872f-905c89bdabca
Queen,Queen,Rock Montreal + Live Aid [2024 Blu-ray 48kHz DR07],34,2,07,2007,2024,24,48,2,1,1500,1500,,Blu-ray,m36037,30648934,e0d97e8d-dc9e-3f1b-91a4-ec7df83eecb1,7d638c9c-acb8-4074-9df4-930eebc51c12
Queen,Queen,Live Killers [2004 CD 44kHz DR10],9,2,10,1979,2004,16,44,2,1,1500,1500,,,m7434,3886147,,3bb3668b-a6fd-447d-afba-0a17784a8abf
Queen,Queen,Jazz [1989 CD 44kHz DR13],13,1,13,1978,1989,16,44,2,1,1500,1500,,,m7103,1849614,c192ea46-7377-34f0-b332-dd9810edd560,04fa4243-e37c-479c-ab0e-b981b0be63da
James Taylor,"Taylor, James",(Live) [1993 CD 44kHz DR13],15,2,13,1993,1993,16,44,2,1,1500,1500,,,m278778,2470860,,ca551b91-c5aa-49d5-a49b-7a069eb32850
James Taylor,"Taylor, James",James Taylor's Greatest Hits [2020 Qobuz 192kHz DR13],12,1,13,1976,2020,24,192,2,1,1500,1500,,Qobuz,m68256,17146045,a5fd3ef5-a9eb-36b6-92a1-72896d0ee310,85dad5f7-6e6d-4fa9-b68f-4b114566cf89
Iain Matthews,"Matthews, Iain",Pure And Crooked [1990 CD 44kHz DR10],11,1,10,1990,1990,16,44,2,1,1400,1400,,,m305427,8743271,,2389c5dd-751e-4eed-aa2b-c6f618786ec0
R.E.M.,R.E.M.,Out Of Time [2012 Qobuz 88kHz DR07],11,1,07,1991,2012,24,88,2,1,3000,3000,,Qobuz,m44148,11867789,400a5fdd-e616-3598-a9bf-cd8275cb53d0,269cee4e-b808-41b4-9e7d-8b638e82b22f
R.E.M.,R.E.M.,Automatic For The People [2017 Qobuz 192kHz DR08],12,1,08,1992,2017,24,192,2,1,3000,3000,,Qobuz,m57830,11169221,c86c6af9-d10e-3079-b34b-30b682a797eb,499a3e93-235a-4b60-a124-dee9bf8bebec
Seal,Seal,Best | 1991 - 2004 [2004 Qobuz 44kHz DR07],13,2,07,2004,2004,16,44,2,1,1280,1280,,Qobuz,m59737,2019183,df579cac-fbd6-3444-917b-57deeb952f53,b55da4a2-0f6b-427f-bdd6-7357c114ba4c
